No,website,delay/2,loss,BW(Mbps/sec)x2,Env
1,example.html,50,0.01,200,3
2,example.html,50,0.01,100,3
3,example.html,50,0.01,100,3
4,example.html,50,0.01,100,3
5,example.html,50,0.01,100,3
6,example.html,50,0.01,100,3
7,example.html,50,0.01,100,3
8,example.html,50,0.01,100,3
9,example.html,50,0.01,100,3
10,example.html,50,0.01,100,3
11,example.html,50,0.01,100,3
12,example.html,50,0.01,100,3
13,example.html,50,0.01,100,3
14,example.html,50,0.01,100,3
15,example.html,50,0.01,100,3
16,example.html,50,0.01,100,3
17,example.html,50,0.01,100,3
18,example.html,50,0.01,100,3
19,example.html,50,0.01,100,3
20,example.html,50,0.01,100,3
21,example.html,50,0.01,100,3
22,example.html,50,0.01,100,3
23,example.html,50,0.01,100,3
24,example.html,50,0.01,100,3
25,example.html,50,0.01,100,3
26,example.html,50,0.01,100,3
27,example.html,50,0.01,100,3
28,example.html,50,0.01,100,3
29,example.html,50,0.01,100,3
30,example.html,50,0.01,100,3
31,site2.html,50,0.01,200,3
32,site2.html,50,0.01,200,3
33,site2.html,50,0.01,200,3
34,site2.html,50,0.01,100,3
35,site2.html,50,0.01,100,3
36,site2.html,50,0.01,100,3
37,site2.html,50,0.01,100,3
38,site2.html,50,0.01,100,3
39,site2.html,50,0.01,100,3
40,site2.html,50,0.01,100,3
41,site2.html,50,0.01,100,3
42,site2.html,50,0.01,100,3
43,site2.html,50,0.01,100,3
44,site2.html,50,0.01,100,3
45,site2.html,50,0.01,100,3
46,site2.html,50,0.01,100,3
47,site2.html,50,0.01,100,3
48,site2.html,50,0.01,100,3
49,site2.html,50,0.01,100,3
50,site2.html,50,0.01,100,3
51,site2.html,50,0.01,100,3
52,site2.html,50,0.01,100,3
53,site2.html,50,0.01,100,3
54,site2.html,50,0.01,100,3
55,site2.html,50,0.01,100,3
56,site2.html,50,0.01,100,3
57,site2.html,50,0.01,100,3
58,site2.html,50,0.01,100,3
59,site2.html,50,0.01,100,3
60,site2.html,50,0.01,100,3
61,site3.html,50,0.01,100,3
62,site3.html,50,0.01,100,3
63,site3.html,50,0.01,100,3
64,site3.html,50,0.01,100,3
65,site3.html,50,0.01,100,3
66,site3.html,50,0.01,100,3
67,site3.html,50,0.01,100,3
68,site3.html,50,0.01,100,3
69,site3.html,50,0.01,100,3
70,site3.html,50,0.01,100,3
71,site3.html,50,0.01,100,3
72,site3.html,50,0.01,100,3
73,site3.html,50,0.01,100,3
74,site3.html,50,0.01,100,3
75,site3.html,50,0.01,100,3
76,site3.html,50,0.01,100,3
77,site3.html,50,0.01,100,3
78,site3.html,50,0.01,100,3
79,site3.html,50,0.01,100,3
80,site3.html,50,0.01,100,3
81,site3.html,50,0.01,100,3
82,site3.html,50,0.01,100,3
83,site3.html,50,0.01,100,3
84,site3.html,50,0.01,100,3
85,site3.html,50,0.01,100,3
86,site3.html,50,0.01,100,3
87,site3.html,50,0.01,100,3
88,site3.html,50,0.01,100,3
89,site3.html,50,0.01,100,3
90,site3.html,50,0.01,100,3
91,site4.html,50,0.01,100,3
92,site4.html,50,0.01,100,3
93,site4.html,50,0.01,100,3
94,site4.html,50,0.01,100,3
95,site4.html,50,0.01,100,3
96,site4.html,50,0.01,100,3
97,site4.html,50,0.01,100,3
98,site4.html,50,0.01,100,3
99,site4.html,50,0.01,100,3
100,site4.html,50,0.01,100,3
101,site4.html,50,0.01,100,3
102,site4.html,50,0.01,100,3
103,site4.html,50,0.01,100,3
104,site4.html,50,0.01,100,3
105,site4.html,50,0.01,100,3
106,site4.html,50,0.01,100,3
107,site4.html,50,0.01,100,3
108,site4.html,50,0.01,100,3
109,site4.html,50,0.01,100,3
110,site4.html,50,0.01,100,3
111,site4.html,50,0.01,100,3
112,site4.html,50,0.01,100,3
113,site4.html,50,0.01,100,3
114,site4.html,50,0.01,100,3
115,site4.html,50,0.01,100,3
116,site4.html,50,0.01,100,3
117,site4.html,50,0.01,100,3
118,site4.html,50,0.01,100,3
119,site4.html,50,0.01,100,3
120,site4.html,50,0.01,100,3
121,site5.html,50,0.01,100,3
122,site5.html,50,0.01,100,3
123,site5.html,50,0.01,100,3
124,site5.html,50,0.01,100,3
125,site5.html,50,0.01,100,3
126,site5.html,50,0.01,100,3
127,site5.html,50,0.01,100,3
128,site5.html,50,0.01,100,3
129,site5.html,50,0.01,100,3
130,site5.html,50,0.01,100,3
131,site5.html,50,0.01,100,3
132,site5.html,50,0.01,100,3
133,site5.html,50,0.01,100,3
134,site5.html,50,0.01,100,3
135,site5.html,50,0.01,100,3
136,site5.html,50,0.01,100,3
137,site5.html,50,0.01,100,3
138,site5.html,50,0.01,100,3
139,site5.html,50,0.01,100,3
140,site5.html,50,0.01,100,3
141,site5.html,50,0.01,100,3
142,site5.html,50,0.01,100,3
143,site5.html,50,0.01,100,3
144,site5.html,50,0.01,100,3
145,site5.html,50,0.01,100,3
146,site5.html,50,0.01,100,3
147,site5.html,50,0.01,100,3
148,site5.html,50,0.01,100,3
149,site5.html,50,0.01,100,3
150,site5.html,50,0.01,100,3
