No,website,delay/2,loss,BW(Mbps/sec)x2,Env
1,example.html,1,0,1600,1
2,example.html,1,0,1600,1
3,example.html,1,0,1600,1
4,example.html,1,0,1600,1
5,example.html,1,0,1600,1
6,example.html,1,0,1600,1
7,example.html,1,0,1600,1
8,example.html,1,0,1600,1
9,example.html,1,0,1600,1
10,example.html,1,0,1600,1
11,example.html,1,0,1600,1
12,example.html,1,0,1600,1
13,example.html,1,0,1600,1
14,example.html,1,0,1600,1
15,example.html,1,0,1600,1
16,example.html,1,0,1600,1
17,example.html,1,0,1600,1
18,example.html,1,0,1600,1
19,example.html,1,0,1600,1
20,example.html,1,0,1600,1
21,example.html,1,0,1600,1
22,example.html,1,0,1600,1
23,example.html,1,0,1600,1
24,example.html,1,0,1600,1
25,example.html,1,0,1600,1
26,example.html,1,0,1600,1
27,example.html,1,0,1600,1
28,example.html,1,0,1600,1
29,example.html,1,0,1600,1
30,example.html,1,0,1600,1
31,site2.html,1,0,1600,1
32,site2.html,1,0,1600,1
33,site2.html,1,0,1600,1
34,site2.html,1,0,1600,1
35,site2.html,1,0,1600,1
36,site2.html,1,0,1600,1
37,site2.html,1,0,1600,1
38,site2.html,1,0,1600,1
39,site2.html,1,0,1600,1
40,site2.html,1,0,1600,1
41,site2.html,1,0,1600,1
42,site2.html,1,0,1600,1
43,site2.html,1,0,1600,1
44,site2.html,1,0,1600,1
45,site2.html,1,0,1600,1
46,site2.html,1,0,1600,1
47,site2.html,1,0,1600,1
48,site2.html,1,0,1600,1
49,site2.html,1,0,1600,1
50,site2.html,1,0,1600,1
51,site2.html,1,0,1600,1
52,site2.html,1,0,1600,1
53,site2.html,1,0,1600,1
54,site2.html,1,0,1600,1
55,site2.html,1,0,1600,1
56,site2.html,1,0,1600,1
57,site2.html,1,0,1600,1
58,site2.html,1,0,1600,1
59,site2.html,1,0,1600,1
60,site2.html,1,0,1600,1
61,site3.html,1,0,1600,1
62,site3.html,1,0,1600,1
63,site3.html,1,0,1600,1
64,site3.html,1,0,1600,1
65,site3.html,1,0,1600,1
66,site3.html,1,0,1600,1
67,site3.html,1,0,1600,1
68,site3.html,1,0,1600,1
69,site3.html,1,0,1600,1
70,site3.html,1,0,1600,1
71,site3.html,1,0,1600,1
72,site3.html,1,0,1600,1
73,site3.html,1,0,1600,1
74,site3.html,1,0,1600,1
75,site3.html,1,0,1600,1
76,site3.html,1,0,1600,1
77,site3.html,1,0,1600,1
78,site3.html,1,0,1600,1
79,site3.html,1,0,1600,1
80,site3.html,1,0,1600,1
81,site3.html,1,0,1600,1
82,site3.html,1,0,1600,1
83,site3.html,1,0,1600,1
84,site3.html,1,0,1600,1
85,site3.html,1,0,1600,1
86,site3.html,1,0,1600,1
87,site3.html,1,0,1600,1
88,site3.html,1,0,1600,1
89,site3.html,1,0,1600,1
90,site3.html,1,0,1600,1
91,site4.html,1,0,1600,1
92,site4.html,1,0,1600,1
93,site4.html,1,0,1600,1
94,site4.html,1,0,1600,1
95,site4.html,1,0,1600,1
96,site4.html,1,0,1600,1
97,site4.html,1,0,1600,1
98,site4.html,1,0,1600,1
99,site4.html,1,0,1600,1
100,site4.html,1,0,1600,1
101,site4.html,1,0,1600,1
102,site4.html,1,0,1600,1
103,site4.html,1,0,1600,1
104,site4.html,1,0,1600,1
105,site4.html,1,0,1600,1
106,site4.html,1,0,1600,1
107,site4.html,1,0,1600,1
108,site4.html,1,0,1600,1
109,site4.html,1,0,1600,1
110,site4.html,1,0,1600,1
111,site4.html,1,0,1600,1
112,site4.html,1,0,1600,1
113,site4.html,1,0,1600,1
114,site4.html,1,0,1600,1
115,site4.html,1,0,1600,1
116,site4.html,1,0,1600,1
117,site4.html,1,0,1600,1
118,site4.html,1,0,1600,1
119,site4.html,1,0,1600,1
120,site4.html,1,0,1600,1
121,site5.html,1,0,1600,1
122,site5.html,1,0,1600,1
123,site5.html,1,0,1600,1
124,site5.html,1,0,1600,1
125,site5.html,1,0,1600,1
126,site5.html,1,0,1600,1
127,site5.html,1,0,1600,1
128,site5.html,1,0,1600,1
129,site5.html,1,0,1600,1
130,site5.html,1,0,1600,1
131,site5.html,1,0,1600,1
132,site5.html,1,0,1600,1
133,site5.html,1,0,1600,1
134,site5.html,1,0,1600,1
135,site5.html,1,0,1600,1
136,site5.html,1,0,1600,1
137,site5.html,1,0,1600,1
138,site5.html,1,0,1600,1
139,site5.html,1,0,1600,1
140,site5.html,1,0,1600,1
141,site5.html,1,0,1600,1
142,site5.html,1,0,1600,1
143,site5.html,1,0,1600,1
144,site5.html,1,0,1600,1
145,site5.html,1,0,1600,1
146,site5.html,1,0,1600,1
147,site5.html,1,0,1600,1
148,site5.html,1,0,1600,1
149,site5.html,1,0,1600,1
150,site5.html,1,0,1600,1
